Account ID,Account Name,Brand Name,# of Branches,Sector,Contact Person
346925,____ __ ___ _________ ____ ___ ____ (___ ____),,1,,
417761,____ _____ _____ ______ _______,,1,,
953211,____ _____ _____ _________ ______ _________,,1,,
858723,____ ____ ___ ______ ______ _________,,2,,
825293,____ ______ ______ _______,,1,,
535690,____ ____ ______ ______ _________,,1,,
376565,_____ ____ _______ ______ _______,,1,,
847970,____ ___ _______ ____ ___ ____ 1,,1,,
802475,____ _______ ______ _______,,1,,
296032,_____ ____ _______ _____ ______ ________,,1,,
725493,_____ _____ ___ ______ _______,,1,,
424119,____ ____ _____ _________ _______,,2,,
299916,____ ______ _____ _______ ________,,2,,
352651,_____ ___ ______ _______,,2,,
568457,_____ _____ _______ ________,,3,,
993416,____ ____ _____ ______ _______,,0,,
707350,_____ _____ _____ ______ _______,,1,,
719263,Lalingy,,1,,
645285,____ _______ _______ _________ ________ ________,,1,,
678167,_____ ______ _______ ________,,1,,
381431,____ ___ _______ ______ _______,,1,,
263247,_____ ___ _______ ______ _______,,1,,
673029,_____ ____ ___ ___ ______ _________,,1,,
756180,____ _____ ______ _______,,1,,
976673,_____ ___ ____ ________,,2,,
448050,_____ ______ _______ ________,,1,,
309718,layali Alandalib,,1,,
578662,_____ ____ ______ ______ _________,,1,,
682446,____ _____ _______ _______ ________ ____ ______ _____,,2,,
945145,____ ______ _______ ______ _________,,1,,
672877,____ ______ ______ ______ ______ _______,,1,,
525812,_____ ___ ___ ______ _______,,1,,
100151,_____ ___ _________ ________,,1,,
341209,_____ _____ ______ ______ _______,,2,,
238155,____ ____ ____ _____,,1,,
599940,____ ____ ______ ______ _______ ___ ____,,1,,
643276,___ ____ _________ __ ____ _______ ______ _________,,3,,
715698,____ ____ _____ ______ _______,,5,,
782996,____ _____ ____ ________,,3,,
762665,Shrimp Side,,2,,
767448,_____ ____ ___ ____ __ _____ _______,,1,,
207269,_____ ____ ____ ____ ______ ______ _______,,1,,
708405,____ ________ ________,,1,,
604353,_____ ____ ______ ______ _________,,1,,
659018,_____ ___ ___ ____ _____ ______ _______,,1,,
922830,____ _________ ________ ________,,2,,
519365,____ ____ ______ ________,,1,,
787570,____ _____ ______ _________,,1,,
611336,_____ ______ ______ ______ _______,,2,,
155244,_____ ____ _______ ______ _______,,1,,
446196,Shuneez,,3,,
567634,____ _____ ________,,1,,
773672,____ _____ ______ _______,,1,,
642871,____ ___ ______ ______ _______,,1,,
941590,____ ____ _______ _______ ________,,0,,
911709,____ ____ ______ ______ _______,,1,,
466866,____ ___ ____ ______ _________,,1,,
324887,____ _____ ____ ___ ______ ______ _______,,0,,
474674,____ _____ ______ ______ _________ (____ ___ ____),,2,,
135355,_____ ___ _____ ______ _______,,1,,
437839,____ ____ ____ _______ ________ ______ _________,,1,,
898596,____ _____ ___ ______ _______ ___ ____,,2,,
707255,Above coffee,,1,,
281917,_____ ______ ________ ______ _______,,0,,
302315,____ ____ _______ _______,,1,,
559843,Hayat Cinnamon,,1,,
298187,Anab bytie,,2,,
469740,____ ______,,1,,
738036,_____ ___ ___ ___ ______ _______,,2,,
870423,____ ____ _______ _____ _ _______,,1,,
371970,_____ ______ ______ ________,,3,,
551667,____ __ ___ _______ ______ _________,,1,,
536247,_____ ____ _____ _______ ____ ______ _________,,2,,
585372,____ _____ ______ ______ _______,,1,,
925900,_____ ___ ______ ______ _________,,2,,
417676,____ ____ ______ _______ _______,,2,,
608309,____ ___ ______ _________,,9,,
217718,____ _______ ________,,2,,
281391,____ ______ _______ _______ ____ ___ ____,,1,,
832792,_____ _______ _______ _______ _______ ____ ___ ____,,1,,
950870,____ ___ _____ ________ ____ ___ ____,,1,,
887062,_____ ___ ___ ___ _____ ______ _________,,1,,
534354,____ ___ _______ ________ (____ ___ ____),,3,,
512779,___ ____ ____ ______ _________,,4,,
736635,____ ____ _________ __________ ______ _______,,1,,
973778,_____ ____ ______ ________,,1,,
936820,____ ________ ______ ______ _______,,1,,
473475,____ _____ ____ ______ _________,,2,,
152640,_____ _____ ______ ______ _______,,3,,
571946,_____ ___ _____ ____ ______ ______ _________,,0,,
336628,_____ _____ ______ ______ _______,,1,,
389440,____ ____ ___ ______ _______,,1,,
937649,____ ___ _____ ______ _______ (____ ___ ____),,1,,
597612,____ ____ ______ _______,,1,,
122332,____ ____ ____ ____ ______ ______ _______,,1,,
701129,_____ ___ ____ ______ _________,,1,,
843410,Shatiraty,,2,,
227205,_____ ___ _____ ______ _________,,1,,
975612,____ _____ ___ __ _____ __ _____ _______,,1,,
794585,____ ______ _______ _ ______ _______ ______ _______,,2,,
828131,Idioma Cafe,,1,,
687742,____ ____ _____ ______ _________,,1,,
365970,____ ____ ____ ______ _________,,1,,
410580,_____ ____ ______ _______,,1,,
432799,CHOLLA COFFEE,,2,,
811518,____ ___ ___ ______ _______,,5,,
192972,____ ____ ______ ______ _______,,1,,
121186,_____ ___ _____ ______ _______,,2,,
426769,___ ___ ___ ______ _________,,1,,
750218,____ ___ ____ ______ _________,,1,,
525133,_____ ______ _______ ________,,2,,
150627,Beanery Cafe,,1,,
825849,____ __ _____ ______ _______ ____ ___ ____,,2,,
732831,____ _______ _______ _______ _______ ____ ___ ____,,1,,
680877,____ ___ ______ _________ (Franchise),,1,,
816637,____ ____ ______ ________,,2,,
834451,_____ _____ ______ _______,,2,,
884491,____ ____ ________ _______ _______,,1,,
735080,____ ____ ______ ______ _________,,2,,
785326,_____ ____ ______ ______ _________,,3,,
290986,_____ ______ ________ ______ _______,,1,,
329656,____ _____ _______ _________ ________ ________,,2,,
591140,alhanidh aljanubii restaurant,,2,,
316868,_____ ___ _______ ________,,3,,
155465,_____ _____ ______ _________,,1,,
920765,____ ___ ______ ______ _______,,2,,
449011,_____ ____ ____ ____ ______ ______ _______,,1,,
765607,_____ ____ __ ____ __ _______ ______ ______ _______,,2,,
732802,_____ _____ ______ _______,,1,,
973867,_____ ___ _______ ______ ________,,1,,
639817,_____ _____ ___ _____ ____ ______ _________,,9,,
108602,Altout Alahmar Coffee,,1,,
299095,_____ ____ ______ _______ _______,,1,,
271494,_____ ____ _______ ______ _______,,2,,
611896,_____ ___ ____ ______ _________,,3,,
957452,____ ___ ____ ______ _______,,1,,
876762,_____ ______ _______ ______ _______,,1,,
912516,_____ _____ _ _______ _______,,2,,
740050,____ _____ _____ _______ _______ (____ ___ _______ ______ ),,3,,
995591,____ ____ ____ ______ ________,,3,,
903013,____ _____ ______ _________,,1,,
787324,____ ________ ______ _______ _______,,1,,
123643,Rozta cafe,,1,,
182189,____ _____ ______ _______ _______,,1,,
154135,_____ ____ __ ______ _________,,0,,
291302,____ ____ _________ ___ ____ _______ ______ _______,,2,,
173013,_____ ____ ____ _______ _______,,1,,
252771,____ ___ _____ ___ _______ _______,,1,,
447959,____ ______ _______ _______ _______,,0,,
389683,_____ ___ ______ _________,,1,,
629219,____ _____ ______ ______ _________,,1,,
984400,____ ____ _________ ________ _________,,1,,
459053,____ ____ _____ ______ _______ ___ ____,,1,,
992970,____ ____ ____ ___ __ ___ ____ ______ _________,,1,,
921397,____ ___ ____ ______ _________ _____,,2,,
757962,_____ ___ ___ ________,,1,,
995234,_____ _____ ___ _______ __ ____ ________ ________,,2,,
978679,____ _____ ___ _______ _______,,1,,
920339,_____ ____ ____ ___ _____ ______ _______,,2,,
328817,____ ____ _____ ______ _______,,2,,
190831,_____ ____ ____ ______ _________,,0,,
797887,_____ ______ ______ ______ _________,,1,,
799541,____ __ ___ ______ _________,,1,,
802869,____ _____ ______ _________,,1,,
322071,_____ ____ ____ _________ _______ ________,,4,,
917076,____ _____ ______,,2,,
786036,____ ______ _______ ________,,1,,
748410,_____ ___ _____ ________,,2,,
310740,____ _____ ________ _______ _______,,1,,
415543,___ ____ _____ ______ _________,,1,,
175763,____ ____ ___ _______,,1,,
813015,____ ______ _______ ______ _________,,1,,
971185,Almumayyazah Almutahidah for Investment,,1,,
588069,_____ ____ ________,,1,,
343808,____ ___ _____ _______ ( ____ ___ ____ ),,5,,
202764,Red onion,,1,,
970631,____ _____ ______ _______,,1,,
201688,______ _______ ____ _____ ______ _______ _______,,1,,
373356,_____ ____ ____ __ ____ _____ ______ _______,,1,,
403609,____ ____ _______ _______,,1,,
510237,____ _________ ____ ____ ______ ______ _______,,1,,
739333,____ _______ ______ _________,,1,,
986688,____ ______ ______ ______ _______,,1,,
575153,____ ___ _____ _______ ________,,1,,
598396,Mussels,,1,,
842504,____ _____ ___ __ ___ ________ ______ _________,,1,,
405416,_____ ________ ____ __ ____ ________ ______ _________,,8,,
399190,_____ ______ ________ ________,,1,,
987894,____ _____ ___ ______ _______,,1,,
694218,____ _____ _____ ______ _________,,1,,
255533,_____ ____ ___ _______ _______,,1,,
122529,____ _________ ______ ______ _______,,1,,
672804,_____ ___ ______ ______ ________,,1,,
578456,____ _____ ______ ______ _________,,1,,
324058,_____ _______ _______ _______,,1,,
478341,_____ ____ ______ _________,,1,,
274692,___ ____ ______ _______,,2,,
142803,_____ _____ _______ ______ _________,,1,,
863235,____ ___ ____ ______ _________ ___ ____,,2,,
446985,____ _____ ___ _______ _________ ___ ____,,4,,
864593,____ ____ ________ ________ ______ _____,,1,,
494701,____ ___ _____ ________ _______ ______ _________,,2,,
876059,1____ ____ _______ ____ _____ ______ _________,,1,,
804146,____ ______ ______ ______ _________,,1,,
860996,____ _____ ____ _____,,1,,
498670,_____ ____ ____ ________,,1,,
792534,____ ____ _______ ___ ____ ______ _________,,1,,
795080,____ ___ ______ _______,,2,,
948820,Tales,,1,,
613836,____ ___ _____ ______ _________,,1,,
742091,_____ ___ _______ ______ _______,,1,,
853899,Sharah,,1,,
738724,____ ___ ____ ___ _____ ______ _______,,1,,
890913,___ ____ _________ __ ____ _______ ______ _________,,1,,
715362,_____ ___ ______ _____ _______,,1,,
220900,____ ___ _________,,1,,
469783,____ ___ _______ ______ _______,,1,,
281709,____ _______ ____ __ _________ _______ ________,,2,,
149440,_____ _____,,2,,
260957,____ _____ _____ ________ (____ ___ ____),,1,,
578651,____ ____ ______ ______ _______,,1,,
912117,____ ____ ______ ______ ________,,1,,
718941,____ ___ _______ ____ ___ ____ 2,,1,,
923038,____ _______ _______ _______ _______ ____ ___ ____,,1,,
251360,_____ ____ ____ _____ _______,,1,,
637047,___ ____ ____ ____ ______,,2,,
621839,Faris Steak House,,1,,
162959,____ ______ ____ _______ _______,,1,,
991203,____ _____ ________ ________,,1,,
465762,____ ____ ______ ______ _________,,1,,
603469,____ ___ ____ ______ _________,,1,,
706052,____ ___ _____ _______,,1,,
330511,____ ____ _______,,0,,
130214,____ ___ ______ ______ _________,,1,,
373750,____ ____ ______ ______ _______,,1,,
928164,____ _____ ______ _____,,6,,
917545,Nakhhat Al Agthiah Establishment,,1,,
788950,____ _____ ________ ______ _______,,1,,
524427,_____ ______ _______ ______ _______,,1,,
969900,_____ ___ ___ ______,,1,,
352025,____ _______ _______ _______ _______ ____ ___ ____,,1,,
420892,_____ ____ ____ ___ _______ ________,,1,,
897255,_____ ____ ______ _______,,3,,
343114,_____ _____ ______ _______ _______,,1,,
193321,____ _______ _______ _______ _______ ____ ___ ____,,1,,
424782,____ ___ _______ ______ _________,,1,,
352795,Kaf Coffee,,1,,
178185,____ ___ ____ __ _____ __ ______ ______ _______,,2,,
464603,Glad,,1,,
787402,_____ ___ ____ __ ____ ______ _______ _______,,1,,
925855,Sinlessfood,,1,,
153483,____ _____ ______ ________,,1,,
445582,____ ____ ______ _________,,2,,
433641,_____ _______ ______ ______ _______,,1,,
843764,____ _____ ______ ________,,1,,
113862,Gulf food for food services,,2,,
416669,_____ _____ ______ ______ _______,,2,,
428340 ,____ _____ ___ ______ _________,,1,,
916093,____ ___ ______ ______ _______,,1,,
299141,____ _____ ______ ______ _______,,1,,
476298,_____ ______ ______ ______ _________,,1,,
447830,_____ ______ _______,,1,,
304925,____ ___ ____ _____ _____ ___,,1,,
790534,____ ______ ______ _________,,1,,
555214,____ ___ ____ ______ _________,,1,,
839840,____ _______ _______ ______ _______,,1,,
779039,____ ___ ______ _______ _______,,2,,
536186,____ ____ ____ _______ _______,,1,,
550385,____ _______ ______ _______,,2,,
538023,____ ____ ___ _______ _______,,1,,
684787,The origin of flavor company for meals,,1,,
706824,Kunafa Al Afdal,,1,,
822412,____ _____ _______ _______ _______,,1,,
164653,_____ ____ ____ ______ _________,,2,,
700015,_____ ____ ___ ____ ______ ______ _______,,1,,
142932,____ ___ ________ ________ ____ ___ ____,,1,,
759801,____ ___ ________ ________ ____ ___ ____,,1,,
387408,____ _______ _______ _______ _______ ____ ___ ____,,1,,
727019,_____ ___ ___ ______ _______,,1,,
330650,____ _____ ______ _________,,1,,
255314,____ ____ ______ ______ _________,,1,,
864987,____ ______ _____ ______ _________,,1,,
886885,Bench,,0,,
238274,FYA Coffee,,1,,
755112,The Barking Lot-,,1,,
495890,Bado,,0,,
609324,_____ ____ ______ _______ _______,,1,,
932946,Establishment AL-KHATOUT AL-ZARQAA For Meals,,0,,
944558,Zadco,,1,,
579146,____ ____ ____ ___ ____ _______ ______ _________,,0,,
137209,_____ ____ ______ ______ _______,,0,,
786130,_____ ___ _______ _____ _______ ______ _______,,1,,
991682,_____ ______ ______ _______,,1,,
227427,_____ _____ ______ ______ _______,,1,,
813849,_____ ____ _______ ______ _________,,1,,
913737,_____ ____ _______ ______ _________,,1,,
302896,Local grill restaurant to serve meals,,1,,
631281,Aloqair Hotel,,0,,
683448,Rebel Foods,,1,,
842265,____ _______ ________ ________,,1,,
223704,Falfelha,,1,,
220474,Palm House,,1,,
416428,Domaci,,1,,
258554,____ ____ ______ ______ _______,,0,,
186971,____ _______ ______ _______ ____ ___ ____,,1,,
603467,_______ _____ _____,,2,,
673547,_____ ____ _______ __ ____ ______ ______ _______,,2,,
191058,____ ____ _________ _______ _______,,2,,
771205,____ ____ _______ ______ _______,,2,,
499717,____ _______ ______ _________,,1,,
789344,Dank Burger,,2,,
793987,_____ _______ _______ ______ _______,,1,,
707903,_____ _______ _______ ______ _______,,1,,
382432,______ ______ ________ ______ _______,,1,,
711875,Aman w zman,,1,,
816005,____ ______ _______ _______ _______,,2,,
208887,Bonanza,,1,,
101287,Cene civilization beverage company,,1,,
578099,._____ ____ ______ _______ _______,,1,,
311851,____ ___ ______ _______,,1,,
509732,____ ____ _____ ______ _______,,1,,
585406,____ ____ _______ ______ _________ ____ ___ ____,,1,,
156511,____ _____ ___ ___ _______ ________,,2,,
486204,____ _____ ________,,2,,
944435,_____ _____ ______ ______ _______,,5,,
863080,_____ ____ ____ ______ _________,,1,,
346742,____ ______ ________ ______ _______,,1,,
294601,Shurakaa Alezdehar Co.,,1,,
535521,____ ____ _ ___ ______ _________,,1,,
361028,___ _______ ______ _______,,1,,
558947,____ ____ _______ ______ _______,,1,,
306640,____ _______ ______ _________ ____ ___ ____,,1,,
246376,Corniche Al Shamrani,,1,,
190850,____ ___ _____ _____ ________,,1,,
905750,_____ ____ _______ ______ _______,,1,,
401874,____ ______ ______ ______ _______,,1,,
663591,_____ ____ ___ ____ ___ ________,,1,,
152025,_____ ____ _____ ______ _________,,1,,
